IDCode,WSU LIFETIME GIVING,WSU YEARS OF GIVING,ASSETS,RECORD TYPE CODE,Number of relationships,Gender,Velocity35Score,Velocity57Score,AlumniCode,SportCode,GreekCode,ParticipationScore,AssetClass,ParticipationClass
5497,525,13,510529,AL,1,F,0,0,1,0,0,0,Moderate,None
7294,0,0,510500,FP,2,M,0,0,0,0,0,0,Moderate,None
1992,17819.15,20,510314,AL,1,M,88,100,1,0,0,0,Moderate,None
4152,2814.1,3,510000,FR,1,M,0,0,0,0,0,0,Moderate,None
6857,0,0,510000,AL,,M,0,0,1,0,0,0,Moderate,None
6879,0,0,509400,FR,,M,0,0,0,0,0,0,Moderate,None
67,176630,16,508413,AL,1,M,100,100,1,0,0,0,Moderate,None
5604,475,2,507500,FP,2,M,0,0,0,0,0,0,Moderate,None
2505,3000,3,507000,FR,1,M,100,100,0,0,0,0,Moderate,None
5468,550,13,506900,AL,1,M,0,37,1,0,0,0,Moderate,None
5442,560,6,506560,FR,0,F,100,100,0,0,0,0,Moderate,None
1850,220769.4,28,506500,AL,1,F,61,76,1,0,0,0,Moderate,None
1179,377477.2,35,506000,AL,1,M,26,59,1,0,0,0,Moderate,None
2323,12770,17,505500,FP,2,M,0,0,0,0,0,0,Moderate,None
616,77307.66,27,504700,AL,5,F,52,82,1,0,0,0,Moderate,None
1166,494201.08,56,504000,AL,2,M,50,90,1,0,0,0,Moderate,None
4824,1245,38,503000,AL,1,M,0,0,1,0,0,0,Moderate,None
5023,1000,1,502500,FR,1,F,0,0,0,0,0,0,Moderate,None
5328,675,7,502000,AL,4,M,100,100,1,0,0,0,Moderate,None
6056,200,2,500517,FP,3,M,0,50,0,0,0,0,Moderate,None
782,8737.5,10,500500,FR,4,M,100,40,0,0,0,0,Moderate,None
5874,300,3,499746,AL,6,M,0,0,1,0,0,0,Moderate,None
4853,1200,4,499500,FR,1,F,0,0,0,0,0,0,Moderate,None
2666,15650,24,499000,AL,4,M,0,0,1,0,0,0,Moderate,None
5186,810,20,498200,AL,1,M,0,0,1,0,0,0,Moderate,None
4501,1850,40,497149,AL,1,M,31,77,1,0,0,0,Moderate,None
6962,0,0,496750,AL,,M,0,0,1,0,0,0,Moderate,None
7036,0,0,496500,FP,2,M,0,0,0,0,0,0,Moderate,None
3100,10360,12,495000,FF,1,M,0,40,0,0,0,0,Moderate,None
4202,2655,13,494783,AL,1,F,62,68,1,0,0,0,Moderate,None
617,40238,23,494653,AL,0,M,39,86,1,0,0,0,Moderate,None
5903,280,4,494500,FP,3,M,0,0,0,0,0,0,Moderate,None
6812,0,0,493500,FR,1,M,0,0,0,0,0,0,Moderate,None
4451,1950,8,492600,FR,0,F,33,58,0,0,0,0,Moderate,None
6500,50,2,492500,AL,1,M,0,0,1,0,0,0,Moderate,None
5163,845,10,491700,AL,5,M,0,0,1,0,0,0,Moderate,None
