IDCode,WSU LIFETIME GIVING,WSU YEARS OF GIVING,ASSETS,RECORD TYPE CODE,Number of relationships,Gender,Velocity35Score,Velocity57Score,AlumniCode,SportCode,GreekCode,ParticipationScore,AssetClass
2379,1145,7,288500,AL,7,M,,,1,,,0,Moderate
4992,1025,2,288000,FR,1,M,0,0,0,0,0,0,Moderate
4155,2805,14,287600,FR,1,M,80,76,0,0,0,0,Moderate
126,8667,30,287500,AL,4,M,60,74,1,0,1,1,Moderate
5573,500,1,287500,FR,1,M,0,0,0,0,0,0,Moderate
5082,950,12,286240,FR,1,M,0,50,0,0,0,0,Moderate
3116,10175,14,286000,AL,0,M,50,100,1,0,0,0,Moderate
2173,77421.87,36,285996,RF,2,F,37,76,0,0,0,0,Moderate
716,4307.85,16,285500,RS,0,F,,,0,,,0,Moderate
7077,0,0,285500,FP,1,M,0,0,0,0,0,0,Moderate
5086,950,11,285500,AL,1,M,100,100,1,0,0,0,Moderate
4608,1612,51,283400,AL,1,F,66,78,1,0,0,0,Moderate
2436,45769,19,281700,FR,1,M,91,92,0,0,0,0,Moderate
4017,3344,36,281500,AL,0,M,49,65,1,0,0,0,Moderate
4294,2361,21,281200,AL,1,F,41,75,1,0,0,0,Moderate
2928,37380,40,280500,AL,3,M,63,74,1,0,0,0,Moderate
3432,8451,31,280500,AL,3,M,70,94,1,0,1,1,Moderate
3096,10465,35,280500,AL,1,F,66,80,1,0,0,0,Moderate
1225,25015.12,36,280223,AL,3,M,52,73,1,1,1,2,Moderate
1501,100,1,280129,AL,2,F,,,1,,,0,Moderate
2339,39559.88,22,280000,AL,1,M,58,71,1,1,0,1,Moderate
2819,61874.38,45,279833,AL,8,M,44,67,1,0,1,1,Moderate
138,21880,22,279500,AL,0,M,0,0,1,0,0,0,Moderate
6433,56,1,278837,AL,1,F,0,0,1,0,0,0,Moderate
4589,1655,21,278470,AL,1,M,0,33,1,0,0,0,Moderate
3846,4224,10,276808,AL,0,M,0,0,1,0,1,1,Moderate
3538,6666.67,2,276500,FR,2,M,50,100,0,0,0,0,Moderate
4121,2950,25,275740,AL,4,F,50,67,1,0,0,0,Moderate
1336,160122.79,46,275600,AL,1,M,98,98,1,0,0,0,Moderate
4976,1040,19,274831,AL,2,M,43,58,1,0,1,1,Moderate
2579,31147.5,14,274800,AL,1,M,0,51,1,0,0,0,Moderate
4950,1075,32,274800,AL,3,M,0,0,1,0,0,0,Moderate
2822,61277.06,1,274500,FR,2,M,0,0,0,0,0,0,Moderate
4935,1100,5,274060,AL,1,F,0,0,1,1,0,1,Moderate
419,25334,8,273300,AL,1,M,75,1,1,0,1,1,Moderate
1858,25515,30,273257,AL,0,M,54,89,1,0,1,1,Moderate
2813,66075,8,273000,FR,1,F,0,0,0,0,0,0,Moderate
3209,19080,13,273000,AL,1,F,31,64,1,0,0,0,Moderate
2793,87176,50,273000,AL,3,M,56,70,1,0,1,1,Moderate
2220,53486,24,272000,FR,1,F,43,63,0,0,0,0,Moderate
5546,500,13,271400,AL,0,M,100,100,1,0,0,0,Moderate
825,11000,3,271300,FR,1,M,0,0,0,0,0,0,Moderate
1453,39181.1,24,271195,AL,2,M,27,98,1,0,0,0,Moderate
2538,8755,8,271000,AL,2,M,100,93,1,0,1,1,Moderate
606,2714.52,16,271000,RF,1,F,,,0,,,0,Moderate
3261,16568.5,18,271000,FP,2,M,39,53,0,0,0,0,Moderate
1404,51091.85,35,270660,AL,5,M,59,66,1,0,0,0,Moderate
1243,148193.5,58,270171,AL,2,M,87,54,1,0,0,0,Moderate
201,6110.58,7,270000,AL,2,M,57,90,1,0,0,0,Moderate
1186,34160,41,269500,AL,2,F,71,75,1,0,0,0,Moderate
4886,1150,5,269245,FR,1,M,38,100,0,0,0,0,Moderate
3904,3945,17,269000,AL,1,M,60,93,1,0,0,0,Moderate
5179,825,21,268400,AL,1,M,33,75,1,0,1,1,Moderate
3852,4208.33,19,268294,AL,4,M,100,35,1,0,1,1,Moderate
4645,1555,35,268260,AL,1,M,44,67,1,0,1,1,Moderate
6875,0,0,267328,AL,,F,0,0,1,0,0,0,Moderate
663,10721.5,14,267000,AL,4,F,56,69,1,0,0,0,Moderate
3649,5500,9,267000,AL,1,F,53,100,1,0,0,0,Moderate
3866,4130,17,266300,AL,1,M,94,100,1,0,0,0,Moderate
5741,375,14,265400,AL,1,M,0,0,1,0,0,0,Moderate
1348,17178,35,264800,AL,3,M,50,69,1,0,0,0,Moderate
4721,1433,22,264342,AL,1,F,67,60,1,0,0,0,Moderate
172,9902,19,264189,FA,0,F,72,74,0,0,0,0,Moderate
2580,31035,34,264000,AL,2,M,49,74,1,0,1,1,Moderate
2825,59622.44,8,263290,FF,2,M,0,0,0,0,0,0,Moderate
2772,11781.62,5,263000,AL,1,M,0,0,1,0,1,1,Moderate
4707,1450,17,263000,AL,1,M,0,100,1,0,0,0,Moderate
4475,1905,12,262947,FR,0,F,55,71,0,0,0,0,Moderate
6351,95,1,262500,FP,2,M,0,0,0,0,0,0,Moderate
1750,336,10,262500,AL,1,M,,,1,,,1,Moderate
2558,450.25,3,262000,AL,3,M,,,1,1,,1,Moderate
1555,8040,7,261500,AL,0,M,81,93,1,0,0,0,Moderate
3789,4525,17,261500,AL,0,M,5,100,1,1,0,1,Moderate
4151,2815,29,261000,AL,1,M,43,100,1,0,1,1,Moderate
7282,0,0,261000,FR,,F,0,0,0,0,0,0,Moderate
2076,11126,34,261000,AL,1,M,59,76,1,0,0,0,Moderate
3878,4050,35,260000,AL,3,F,72,66,1,0,0,0,Moderate
703,135,2,259500,FR,1,M,0,0,0,0,0,0,Moderate
5323,681,7,259000,AL,1,M,0,0,1,1,1,2,Moderate
3252,17538.41,24,258666,AL,1,M,58,48,1,0,0,0,Moderate
142,42508.87,21,257300,FA,0,F,82,69,0,0,0,0,Moderate
500,573995.99,13,257109,AL,1,M,52,88,1,0,0,0,Moderate
6434,56,1,257000,AL,4,M,0,0,1,1,1,2,Moderate
1159,29824,42,255402,AL,5,M,60,71,1,0,1,1,Moderate
36,50868,24,255000,AL,5,M,58,88,1,0,0,0,Moderate
2233,8207,19,254420,FA,1,M,97,95,0,0,0,0,Moderate
6460,50,2,254000,FP,1,M,0,0,0,0,0,0,Moderate
2345,35998.67,9,253450,FR,1,M,100,33,0,0,0,0,Moderate
4024,3300,16,253000,AL,2,F,12,80,1,0,0,0,Moderate
609,91314.93,37,252601,AL,9,M,21,58,1,0,1,1,Moderate
2443,5235,10,252590,FR,4,M,50,80,0,0,0,0,Moderate
4281,2405,19,252000,AL,1,M,50,28,1,0,0,0,Moderate
5325,680,11,251312,AL,3,M,100,100,1,0,1,1,Moderate
1511,7685,24,251213,FR,1,M,0,36,0,0,0,0,Moderate
2606,29373,34,251000,AL,5,M,52,66,1,0,1,1,Moderate
3783,4597,24,250000,AL,1,M,0,0,1,0,1,1,Moderate
2646,120200,35,250000,AL,0,M,33,60,1,0,0,0,Moderate
2318,893,12,250000,AL,2,M,,,1,,,0,Moderate
3530,6790,7,248200,AL,0,M,0,0,1,0,0,0,Moderate
2672,15320.25,7,247500,AL,5,M,0,0,1,0,0,0,Moderate
3615,5841.67,37,246500,AL,4,M,77,93,1,0,1,1,Moderate
3481,7540,32,246500,AL,1,M,0,56,1,0,1,1,Moderate
3429,8478,39,246250,AL,3,F,67,77,1,0,0,0,Moderate
3765,4725.66,27,246050,AL,7,M,92,62,1,0,1,1,Moderate
3500,7245.02,5,246000,FD,0,M,0,0,0,0,0,0,Moderate
6204,125,2,246000,AL,1,M,0,0,1,0,0,0,Moderate
2056,99018.67,43,245000,FD,3,M,35,64,0,0,0,0,Moderate
889,4256,13,244900,AL,1,M,,,1,,,1,Moderate
4959,1065,8,244750,FR,1,M,100,100,0,0,0,0,Moderate
2969,32452,25,244233,AL,3,M,0,0,1,0,0,0,Moderate
6459,50,1,243100,FR,1,M,0,0,0,0,0,0,Moderate
2604,29878,19,242500,AL,2,M,77,89,1,0,0,0,Moderate
573,126,6,242326,AL,3,M,,,1,,,0,Moderate
1968,26810,29,241704,AL,3,M,0,33,1,0,0,0,Moderate
2913,39578.7,33,241600,AL,5,M,74,79,1,0,1,1,Moderate
3487,7440,15,241500,AL,0,F,54,85,1,0,0,0,Moderate
3036,10920,34,241500,AL,6,M,50,83,1,0,1,1,Moderate
506,8600,35,240700,AL,2,F,96,94,1,0,1,1,Moderate
4469,1910,21,240500,AL,0,M,57,100,1,0,0,0,Moderate
6564,30,1,240500,AL,0,F,0,0,1,0,0,0,Moderate
611,83560,27,240216,FF,5,F,63,75,0,0,0,0,Moderate
1646,4370,20,239000,AL,1,M,,,1,,,0,Moderate
3459,8012.02,36,237430,AL,3,M,71,69,1,0,0,0,Moderate
5992,240,4,237400,AL,1,F,0,0,1,0,0,0,Moderate
1250,371675,37,236206,AL,2,M,75,86,1,0,0,0,Moderate
972,7980,26,236000,AL,0,M,65,90,1,1,1,2,Moderate
22,67519.8,25,235700,AL,2,M,70,78,1,0,1,1,Moderate
2051,34310,19,235500,FR,1,M,60,100,0,0,0,0,Moderate
983,19426,33,234290,AL,2,M,62,82,1,0,1,1,Moderate
339,2395,9,234000,AL,1,F,,,1,,,1,Moderate
1233,157691,52,233200,AL,6,M,62,72,1,0,1,1,Moderate
2785,96385.75,46,233000,AL,3,M,61,85,1,0,0,0,Moderate
4323,2273,25,232200,AL,2,M,0,56,1,0,1,1,Moderate
2968,32478,2,232000,FR,1,M,0,0,0,0,0,0,Moderate
4000,3410,23,231900,AL,2,M,0,43,1,0,1,1,Moderate
293,30041.98,8,231000,FR,0,F,32,70,0,0,0,0,Moderate
4271,2445,19,231000,AL,6,M,0,0,1,0,0,0,Moderate
283,33100.66,4,230800,FR,2,M,100,100,0,0,0,0,Moderate
2088,56885.74,38,230500,AL,1,F,71,91,1,0,0,0,Moderate
5169,837.55,4,229500,AL,1,M,46,21,1,1,0,1,Moderate
3970,3530,32,229300,AL,1,F,61,84,1,0,0,0,Moderate
362,69398.84,55,228500,AL,3,M,78,58,1,0,0,0,Moderate
313,190800.21,44,228450,AL,5,M,71,75,1,0,0,0,Moderate
5414,595,9,228000,AL,0,M,0,100,1,0,0,0,Moderate
1216,335,9,227900,AL,1,M,,,1,,,0,Moderate
1093,7891,34,227500,AL,1,M,65,74,1,1,1,2,Moderate
1891,113587.53,28,227188,AL,2,M,47,87,1,1,0,1,Moderate
3444,8257.64,11,227000,AL,6,M,54,100,1,0,0,0,Moderate
442,4098,24,227000,AL,3,M,,,1,,,1,Moderate
406,126590,24,226800,AL,2,M,82,84,1,0,0,0,Moderate
7302,0,0,226279,FR,1,U,0,0,0,0,0,0,Moderate
5223,764,21,226121,AL,1,M,0,0,1,0,0,0,Moderate
2082,48715.5,28,226100,AL,1,M,86,69,1,0,1,1,Moderate
342,2351,6,225900,AL,2,M,,,1,,,1,Moderate
2664,15685,19,225500,AL,4,M,60,83,1,0,0,0,Moderate
1957,2500,3,225224,AL,0,F,100,100,1,0,0,0,Moderate
1343,10720,35,225000,AL,2,M,50,70,1,1,1,2,Moderate
514,50040,53,225000,AL,1,M,33,60,1,0,1,1,Moderate
4116,2973,16,224500,AL,2,M,0,0,1,1,1,2,Moderate
2243,40982,17,224060,FD,1,M,81,98,0,0,0,0,Moderate
659,4350,3,224000,AL,2,M,,,1,,,1,Moderate
2030,2160,24,223309,AL,2,M,,,1,,,0,Moderate
3740,4915,24,223141,AL,1,M,1,81,1,0,1,1,Moderate
501,349225,39,223100,AL,7,M,97,99,1,0,1,1,Moderate
230,19678,10,223050,AL,1,M,74,87,1,0,0,0,Moderate
3449,8210,32,222500,AL,1,M,53,69,1,0,0,0,Moderate
3922,3781,14,222000,AL,0,M,70,70,1,0,0,0,Moderate
540,350956.75,32,222000,AL,1,M,100,76,1,0,0,0,Moderate
5437,565,4,221500,FR,1,F,0,100,0,0,0,0,Moderate
2409,43521,25,221134,FR,1,M,100,61,0,0,0,0,Moderate
443,8295,38,221000,AL,1,F,60,62,1,0,0,0,Moderate
2485,22788,16,221000,FR,1,M,71,87,0,0,0,0,Moderate
6156,150,2,220880,FR,7,M,0,0,0,0,0,0,Moderate
79,22106.32,11,220000,AL,0,F,67,60,1,0,0,0,Moderate
1302,5705,43,220000,AL,1,M,33,69,1,1,0,1,Moderate
5679,418,4,219500,FR,1,M,0,0,0,0,0,0,Moderate
352,64768,35,219500,AL,2,M,49,86,1,0,0,0,Moderate
1383,1360,16,219500,AL,0,F,,,1,,,1,Moderate
1483,1009053.12,48,217600,AL,1,M,99,98,1,0,0,0,Moderate
104,19535,21,217500,AL,1,M,70,98,1,1,1,2,Moderate
3343,10005.12,34,217500,AL,2,M,72,56,1,0,0,0,Moderate
6640,11,2,216500,AL,2,M,0,0,1,1,1,2,Moderate
3004,27515,32,216500,AL,2,M,59,71,1,0,1,1,Moderate
1933,44930,31,216500,AL,4,M,57,50,1,0,0,0,Moderate
4694,1466,28,216000,AL,1,M,0,0,1,1,0,1,Moderate
3390,9193,34,214500,AL,1,M,76,79,1,0,1,1,Moderate
2986,28860,37,214500,AL,1,M,62,77,1,0,0,0,Moderate
2397,5130,28,214200,FR,1,M,39,74,0,0,0,0,Moderate
91,13536.78,32,214000,AL,5,F,91,94,1,0,0,0,Moderate
3957,3573,25,213900,AL,2,M,53,60,1,0,0,0,Moderate
1379,20677,24,213300,AL,1,F,61,100,1,0,1,1,Moderate
